ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C709,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C710,22uF,SM2512,AVX,TAJC226M016RNJ,digikey,478-3901-1-ND,16v,20%,tantalum,other,more,stuff
C711,22uF,SM2512,AVX,TAJC226M016RNJ,digikey,478-3901-1-ND,16v,20%,tantalum,other,more,stuff
C712,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C713,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C714,100uF,SM0805-C1,ill cap,107CKE035M,newark,69K7903,-,-,-,-,35,V,20,%,alum electro,other,more,stuff
C715,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C716,22uF,SM2512,AVX,TAJC226M016RNJ,digikey,478-3901-1-ND,16v,20%,tantalum,other,more,stuff
C717,0.1uF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C718,2200uF,C1V8,United Chemi-Con,EKZE6R3ELL222MJ25S,digikey,565-1634-ND,6.3v,20%,aluminum,other,more,stuff
C719,5.6nF,SM0805-C1,ill cap,226CKH050M,newark,69K7919,-,-,-,-,50,V,20,%,alum electro,other,more,stuff
C720,27pF,SM0805-C1,avx,08051A221JAT2A,newark,96K4770,-,-,-,-,100,V,5,%,ceramic,other,more,stuff
C721,330uF,SM0805-C1,kemet,T495X337K010ATE035,newark,69K7939,-,-,-,-,25,V,20,%,alum electro,other,more,stuff
C722,10uF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,-,-,-,-,200,V,20,%,alum electro,other,more,stuff
C723,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C801,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C802,10uF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,-,-,-,-,200,V,20,%,alum electro,other,more,stuff
C803,10uF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,-,-,-,-,200,V,20,%,alum electro,other,more,stuff
C804,10uF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,-,-,-,-,200,V,20,%,alum electro,other,more,stuff
C901,22nF,SM0805-C1,murata,GRM216R71H223KA01D,newark,38K1698,-,-,50,V,10,%,Ceramic,other,more,stuff
C902,10uF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,-,-,200,V,20,%,alum electro,other,more,stuff
C903,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C904,22nF,SM0805-C1,murata,GRM216R71H223KA01D,newark,38K1698,-,-,50,V,10,%,Ceramic,other,more,stuff
C905,22nF,SM0805-C1,murata,GRM216R71H223KA01D,newark,38K1698,-,-,50,V,10,%,Ceramic,other,more,stuff
C906,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C907,100uF,SM0805-C1,ill cap,107CKE035M,newark,69K7903,-,-,35,V,20,%,alum electro,other,more,stuff
C908,22nF,SM0805-C1,murata,GRM216R71H223KA01D,newark,38K1698,-,-,50,V,10,%,Ceramic,other,more,stuff
C909,22nF,SM0805-C1,murata,GRM216R71H223KA01D,newark,38K1698,-,-,50,V,10,%,Ceramic,other,more,stuff
C1001,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1002,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1003,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1004,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1005,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1006,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1007,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1008,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1009,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1010,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1011,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1012,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1013,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1014,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1015,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1016,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1017,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1018,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1019,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1020,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1021,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1022,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1023,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1024,10nF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,,,200V,10%,alum elec,other,more,stuff
C1101,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1102,10uF,SM0805-C1,ill cap,106CKE200M,newark,69K7896,-,-,200,V,20,%,alum electro,other,more,stuff
C1201,1nF,SM0805-C1,avx,08055F102K4Z2A,newark,26M5154,-,-,-,-,50,V,10,%,Ceramic,other,more,stuff
C1202,1nF,SM0805-C1,avx,08055F102K4Z2A,newark,26M5154,-,-,-,-,50,V,10,%,Ceramic,other,more,stuff
C1203,33nF,SM0805-C1,yageo,CC0805KRX7R8BB333,newark,69C9599,,,25V,10%,ceramic,other,more,stuff
C1204,33nF,SM0805-C1,yageo,CC0805KRX7R8BB333,newark,69C9599,,,25V,10%,ceramic,other,more,stuff
C1205,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1206,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1207,2.2nF,SM0805-C1,avx,08051A221JAT2A,newark,96K4770,-,-,-,-,100,V,5,%,Ceramic,other,more,stuff
C1208,2.2nF,SM0805-C1,avx,08051A221JAT2A,newark,96K4770,-,-,-,-,100,V,5,%,Ceramic,other,more,stuff
C1209,33nF,SM0805-C1,yageo,CC0805KRX7R8BB333,newark,69C9599,,,25V,10%,ceramic,other,more,stuff
C1210,33nF,SM0805-C1,yageo,CC0805KRX7R8BB333,newark,69C9599,,,25V,10%,ceramic,other,more,stuff
C1211,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
C1212,100nF,SM0805-C1,avx,08051C104KAT2A,newark,96M1354,,,100V,10%,ceramic,other,more,stuff
